year,n_trades,hit_rate,mean_bps,std_bps,worst_bps,best_bps,return_pct
2017,1,1.0,61.37588652482307,0.0,61.37588652482307,61.37588652482307,0.614
2018,10,1.0,84.3174500497953,31.654625039405584,12.670113456842332,118.4712007809956,8.754
2019,5,0.8,28.002188128165134,86.03227379868282,-121.52229092092414,99.40956006148794,1.393
2020,27,0.7407407407407407,59.67930102191831,115.08802365654287,-171.20566419420123,399.5511612856843,17.23
2021,9,0.5555555555555556,19.691060480847277,120.25509542846743,-168.56671369854647,246.78536892999747,1.728
2022,35,0.6571428571428571,15.235334860679046,118.9436413809396,-358.1229868228404,327.3333333333332,5.219
2023,11,0.5454545454545454,8.57254226316313,60.911357698752724,-95.00096417711278,74.92918696140816,0.928
2024,10,0.5,-35.65908336570522,158.0239944445914,-460.1420118343198,71.13404182379202,-3.621
2025,13,0.6923076923076923,25.617942564679833,39.596783039452646,-28.300830513686254,89.85889570552175,3.372
2026,4,0.5,-20.900924642454182,50.205651533114136,-82.45559694177572,26.752613240418782,-0.837
